,model_name,hyperparameter_setting,mean_training_rmse,sd_training_rmse,test_rmse
0,DTR,_criterion_squared_error_max_depth_5_,1.458993453714207,0.0608245731816451,1.2021076225285745
1,KNN,_n_neighbors_15_,1.4555839623028068,0.04936088354620827,1.2123503161568225
2,Ridge,_alpha_10.0_,1.3466667038443543,0.06209160176711053,1.1617856784933185
